recipe_id,cuisine_id
48324,41
48320,41
48318,23
48318,14
48322,41
48316,41
48332,29
48336,33
48330,41
48334,41
48326,41
48338,12
48340,41
48340,29
48346,29
48342,41
48348,41
48350,41
48350,33
48352,33
48362,41
48358,41
48360,33
48366,41
48372,41
48364,41
48354,33
48356,41
48376,41
48370,41
48382,41
48378,41
48374,41
48380,36
48380,1
48388,29
48384,41
48392,41
48394,23
48394,14
48390,41
48386,41
48408,41
48410,41
48414,41
48406,41
48406,29
48404,41
48422,41
48420,23
48420,14
48398,41
48418,41
48418,33
48416,33
48426,48
48424,41
48430,41
48428,6
48434,23
48434,14
48436,41
48432,41
48442,41
48442,35
48438,29
48446,41
48448,29
48450,41
48440,41
48444,41
48452,41
48454,41
48456,8
48458,41
48464,23
48464,14
48466,41
48460,29
48462,41
48472,41
48478,41
48468,41
48470,6
48476,41
48484,41
48480,41
48490,22
48502,33
48474,23
48474,14
48492,41
48494,33
48486,17
48488,41
48504,41
48506,33
48508,41
48498,14
48500,23
48500,14
48482,41
48516,41
48520,36
48520,23
48510,41
48512,41
48522,41
48518,41
48530,41
48532,41
48528,41
48542,35
48526,41
48526,35
48524,41
48544,41
48534,41
48548,33
48550,41
48538,41
48540,41
48556,41
48546,41
48552,41
48562,41
48554,41
48580,41
48572,41
48576,35
48576,29
48566,41
48574,41
48568,41
48582,41
48560,41
48584,41
48592,23
48592,14
48594,41
48588,41
48578,41
48564,41
48590,41
48598,41
48602,41
48610,41
48604,41
48604,35
48606,33
48596,23
48596,14
48612,41
48618,41
48614,33
48608,41
48616,41
48616,37
48624,41
48626,41
48600,41
48622,41
48628,41
48620,41
48640,41
48636,36
48636,6
48642,41
48634,41
48638,33
48646,41
48648,41
48644,41
48658,41
48652,41
48654,29
48664,41
48650,41
48674,41
48672,29
48662,41
48670,29
48668,41
48678,41
48684,41
48680,41
48690,41
48692,41
48696,23
48696,14
48702,41
48682,41
48694,41
48706,29
48718,41
48700,41
48716,41
48688,41
48688,11
48710,41
48698,33
48714,29
48724,41
48720,41
48722,23
48722,14
48726,36
48728,41
48732,33
48730,41
48744,41
48742,41
48748,41
48750,41
48734,41
48738,41
48736,35
48758,41
48760,23
48760,14
48762,41
48752,41
48754,41
48766,41
48756,41
48768,41
48770,41
48764,41
48772,41
85137,41
48778,41
48776,41
48792,41
48782,41
48794,23
48794,14
48812,33
55888,33
48810,41
48804,41
48802,41
48790,41
48798,29
48806,41
48800,41
48746,29
48814,41
48808,41
48816,41
48818,41
48822,41
48820,41
48834,41
48824,48
48836,41
48828,41
48826,36
48826,42
48840,41
48830,41
48838,41
48842,48
48844,41
48832,41
48854,41
48846,41
48848,39
48856,41
48866,41
48858,41
48852,41
48850,41
48860,41
48870,41
48872,41
48884,41
48864,41
48868,41
48878,41
48874,41
48876,35
48888,41
48886,41
48890,23
48890,14
48880,41
48882,41
48892,41
48896,35
48894,41
48902,23
48902,14
48912,48
48922,41
48908,41
48906,41
48898,41
48900,41
48904,41
48910,41
48924,41
48926,41
48932,31
48918,41
48916,33
